city,height_group,electricity_decile,n,mean_ntl_intensity,median_ntl_intensity
Amsterdam,Low height,1,9,0.024541757534566506,0.020058625085013253
Amsterdam,Low height,2,5,0.018809200009055903,0.01987393251649893
Amsterdam,Low height,3,5,0.015833912580394273,0.0167557293141382
Amsterdam,Low height,4,10,0.013600868800022346,0.01473739782888433
Amsterdam,Low height,5,17,0.0141941475453447,0.013241651210379091
Amsterdam,Low height,6,17,0.011231758013155398,0.011757473130300252
Amsterdam,Low height,7,16,0.009765954123858698,0.01020922690153674
Amsterdam,Low height,8,20,0.007825894356393564,0.007355763102457407
Amsterdam,Low height,9,19,0.007604332572149746,0.006412231700571053
Amsterdam,Low height,10,34,0.003602310005240944,0.003323985833779807
Amsterdam,Medium height,1,25,0.028087500455783523,0.026117296088231753
Amsterdam,Medium height,2,15,0.02575528880631477,0.025345044136047365
Amsterdam,Medium height,3,16,0.022695653232653164,0.02293983214640741
Amsterdam,Medium height,4,14,0.019535742066290104,0.022460486379902018
Amsterdam,Medium height,5,11,0.018003999040408534,0.01753485027112459
Amsterdam,Medium height,6,15,0.01471563501261163,0.015081918005849805
Amsterdam,Medium height,7,17,0.015069972548512318,0.013248543345600093
Amsterdam,Medium height,8,12,0.01676844822183179,0.011185529067617626
Amsterdam,Medium height,9,17,0.011020965873408742,0.01038329309154405
Amsterdam,Medium height,10,9,0.012148963316806696,0.01338008090358256
Amsterdam,High height,1,18,0.030717489396480186,0.028644208113352457
Amsterdam,High height,2,22,0.03432058345378869,0.028418928858551726
Amsterdam,High height,3,22,0.03415577813716108,0.02773730860323461
Amsterdam,High height,4,25,0.03497712418725462,0.035935772549022325
Amsterdam,High height,5,17,0.042463906020535035,0.03652094635515582
Amsterdam,High height,6,14,0.037639872410925715,0.029556438943973452
Amsterdam,High height,7,8,0.044367693657150556,0.04598943916515367
Amsterdam,High height,8,13,0.030026274888092872,0.028567317615855823
Amsterdam,High height,9,10,0.030719877027651367,0.024485709097470786
Amsterdam,High height,10,2,0.016116620678922312,0.016116620678922312
