city,height_group,electricity_decile,n,mean_ntl_intensity,median_ntl_intensity
Tokyo,Low height,1,93,0.06279258024383762,0.059513188014104774
Tokyo,Low height,2,89,0.05708907713809944,0.05745197126034655
Tokyo,Low height,3,98,0.04682114609565723,0.045681251167803534
Tokyo,Low height,4,100,0.037203357464456584,0.036125564826852884
Tokyo,Low height,5,97,0.03686829483251778,0.03531954571953174
Tokyo,Low height,6,100,0.03402081818138464,0.03524465667429983
Tokyo,Low height,7,113,0.027803602012295626,0.02813745132105186
Tokyo,Low height,8,122,0.024200718061154095,0.024248265758551716
Tokyo,Low height,9,132,0.02040120053057254,0.019254199307786428
Tokyo,Low height,10,155,0.016397768913351495,0.015244761872976388
Tokyo,Medium height,1,78,0.10973926989789533,0.10657837403607895
Tokyo,Medium height,2,71,0.08657054255908689,0.08438686976928586
Tokyo,Medium height,3,78,0.07131646746154627,0.07155514480610427
Tokyo,Medium height,4,96,0.06198205660856668,0.06239642187461657
Tokyo,Medium height,5,113,0.05593930896731588,0.05516507487735795
Tokyo,Medium height,6,119,0.04945621603196243,0.04944061739642597
Tokyo,Medium height,7,129,0.045874481462743526,0.04624939173769306
Tokyo,Medium height,8,139,0.042861672671429214,0.04174795705688267
Tokyo,Medium height,9,137,0.03401379083946078,0.034939287835031814
Tokyo,Medium height,10,138,0.026725097624701984,0.025987005636915306
Tokyo,High height,1,159,0.20101457575803838,0.18769663350549165
Tokyo,High height,2,170,0.14296623979944967,0.13606976492290923
Tokyo,High height,3,153,0.11605551865978776,0.10946785094808409
Tokyo,High height,4,134,0.09312841822876763,0.0893519284370412
Tokyo,High height,5,119,0.08244170211239557,0.08039432814551549
Tokyo,High height,6,111,0.07065418448159681,0.07173644350599169
Tokyo,High height,7,87,0.06079221151942693,0.05839005982143439
Tokyo,High height,8,69,0.05428325437521601,0.0532109484158149
Tokyo,High height,9,60,0.04772263031774334,0.04363958748214812
Tokyo,High height,10,37,0.03529860696881058,0.03452804065951248
Amsterdam,Low height,1,9,0.024541757534566506,0.020058625085013253
Amsterdam,Low height,2,5,0.018809200009055903,0.01987393251649893
Amsterdam,Low height,3,5,0.015833912580394273,0.0167557293141382
Amsterdam,Low height,4,10,0.013600868800022346,0.01473739782888433
Amsterdam,Low height,5,17,0.0141941475453447,0.013241651210379091
Amsterdam,Low height,6,17,0.011231758013155398,0.011757473130300252
Amsterdam,Low height,7,16,0.009765954123858698,0.01020922690153674
Amsterdam,Low height,8,20,0.007825894356393564,0.007355763102457407
Amsterdam,Low height,9,19,0.007604332572149746,0.006412231700571053
Amsterdam,Low height,10,34,0.003602310005240944,0.003323985833779807
Amsterdam,Medium height,1,25,0.028087500455783523,0.026117296088231753
Amsterdam,Medium height,2,15,0.02575528880631477,0.025345044136047365
Amsterdam,Medium height,3,16,0.022695653232653164,0.02293983214640741
Amsterdam,Medium height,4,14,0.019535742066290104,0.022460486379902018
Amsterdam,Medium height,5,11,0.018003999040408534,0.01753485027112459
Amsterdam,Medium height,6,15,0.01471563501261163,0.015081918005849805
Amsterdam,Medium height,7,17,0.015069972548512318,0.013248543345600093
Amsterdam,Medium height,8,12,0.01676844822183179,0.011185529067617626
Amsterdam,Medium height,9,17,0.011020965873408742,0.01038329309154405
Amsterdam,Medium height,10,9,0.012148963316806696,0.01338008090358256
Amsterdam,High height,1,18,0.030717489396480186,0.028644208113352457
Amsterdam,High height,2,22,0.03432058345378869,0.028418928858551726
Amsterdam,High height,3,22,0.03415577813716108,0.02773730860323461
Amsterdam,High height,4,25,0.03497712418725462,0.035935772549022325
Amsterdam,High height,5,17,0.042463906020535035,0.03652094635515582
Amsterdam,High height,6,14,0.037639872410925715,0.029556438943973452
Amsterdam,High height,7,8,0.044367693657150556,0.04598943916515367
Amsterdam,High height,8,13,0.030026274888092872,0.028567317615855823
Amsterdam,High height,9,10,0.030719877027651367,0.024485709097470786
Amsterdam,High height,10,2,0.016116620678922312,0.016116620678922312
London,Low height,1,42,0.013026935177241508,0.011569187080753713
London,Low height,2,83,0.010740413240880821,0.008210678637012728
London,Low height,3,94,0.007498125909980024,0.006938611893624406
London,Low height,4,121,0.006916431145546768,0.006454676506871781
London,Low height,5,152,0.0058490342283441295,0.005273841558080378
London,Low height,6,193,0.00584479137370236,0.005471509960445873
London,Low height,7,217,0.005056240834766046,0.0048034493482324225
London,Low height,8,231,0.004908966538353354,0.004654158725028243
London,Low height,9,258,0.0050430321858492425,0.00429041693268786
London,Low height,10,274,0.003941242440313754,0.0033012237886628285
London,Medium height,1,142,0.022062450270586745,0.019833157319727998
London,Medium height,2,177,0.015564963035900522,0.012936820103079102
London,Medium height,3,169,0.011280375003049741,0.009974670687905033
London,Medium height,4,183,0.01027905546136878,0.008208539302924553
London,Medium height,5,201,0.00908670747662677,0.00773598706378487
London,Medium height,6,185,0.007954217599458132,0.006593137196157328
London,Medium height,7,164,0.007565836152508739,0.00649584857482079
London,Medium height,8,180,0.007340609548490733,0.006083462113054709
London,Medium height,9,144,0.007489833211457731,0.005973176080016927
London,Medium height,10,119,0.008947291811120023,0.006883247378375839
London,High height,1,316,0.029586604197478248,0.025550406475076986
London,High height,2,239,0.022445299449242884,0.019987264300641974
London,High height,3,236,0.019983851838727938,0.01682672587500847
London,High height,4,196,0.016715323037878364,0.013507080320813353
London,High height,5,146,0.013449722330546575,0.011590970625010548
London,High height,6,121,0.01412090128421804,0.010847770446733431
London,High height,7,119,0.015505978413929856,0.010941992127280442
London,High height,8,88,0.01319921026122365,0.009832983087628124
London,High height,9,97,0.016230293259854787,0.011482351003874234
London,High height,10,107,0.01714203659703246,0.014908362206822448
