city,indicator_original_name,indicator_dimension,coefficient,standard_error,ci_lower,ci_upper,p_value,sample_size,bias_metric,model_name
Tokyo,aging_rate,social,0.0889351191437982,0.017354570013662158,0.054908284028866314,0.12296195425873009,3.1534779978290465e-07,3296,bias_z,rf_ntl_only
Tokyo,foreign_rate,social,0.11929837555426968,0.017299180813772665,0.08538014118083148,0.1532166099277079,6.3768030135661645e-12,3296,bias_z,rf_ntl_only
Tokyo,rent_home_rate,social,0.18064995024297015,0.01713694967502393,0.14704979993640108,0.21425010054953922,1.413076947275821e-25,3296,bias_z,rf_ntl_only
Tokyo,own_home_rate,social,-0.10069940632743862,0.017335046412170763,-0.13468796182102152,-0.06671085083385572,6.882270720830698e-09,3296,bias_z,rf_ntl_only
Tokyo,apartment_rate,social,0.2173929724773451,0.01700691219450077,0.18404778463340343,0.25073816032128676,1.4936198240885351e-36,3296,bias_z,rf_ntl_only
Tokyo,avg_land_price,social,0.0007255860290043201,0.01742360786309437,-0.033436610521991386,0.034887782580000026,0.9667851439778192,3296,bias_z,rf_ntl_only
Amsterdam,rental_housing_pct,social,0.49494119673391535,0.04058400671290576,0.4151750459412101,0.5747073475266207,1.3009117573005662e-29,435,bias_z,rf_ntl_only
Amsterdam,poverty_persons_pct,social,0.17718349942899056,0.045339041238956365,0.08806861120208875,0.26629838765589237,0.000108163943080747,430,bias_z,rf_ntl_only
Amsterdam,origin_outside_europe_pct,social,0.22940630271510512,0.045781627403218596,0.13943504837130477,0.31937755705890547,7.788672030453269e-07,454,bias_z,rf_ntl_only
Amsterdam,social_assistance_pct,social,0.41702986855833146,0.042875005226561264,0.33276408500444166,0.5012956521122213,2.225293817862245e-20,441,bias_z,rf_ntl_only
Amsterdam,unemployment_benefit_pct,social,-0.062491715433273955,0.04717551928018715,-0.15520965390815722,0.030226223041609317,0.1859717371591504,441,bias_z,rf_ntl_only
Amsterdam,low_education_pct,social,0.08587525878895197,0.05313299961855367,-0.018807249485673708,0.19055776706357763,0.10739728053295396,235,bias_z,rf_ntl_only
Amsterdam,owner_occupied_pct,social,-0.49406973771145096,0.04060852240158757,-0.5738840730546373,-0.41425540236826464,1.692626403104844e-29,435,bias_z,rf_ntl_only
Amsterdam,avg_income_per_resident_1000eur,social,-0.25565290670450425,0.06076477772558047,-0.3757315507868324,-0.13557426262217606,4.461759002329015e-05,150,bias_z,rf_ntl_only
London,rental_housing_pct,social,0.3219934553004302,0.013399676304629465,0.29572420309923775,0.3482627075016227,7.803880634406589e-121,4994,bias_z,rf_ntl_only
London,social_rented_pct,social,0.4106671123906471,0.012904920135439426,0.38536779963359324,0.435966425147701,1.6702063984620637e-202,4994,bias_z,rf_ntl_only
London,private_rented_pct,social,-0.06855000071936733,0.014120169481212357,-0.09623173606825758,-0.04086826537047709,1.2421099080336624e-06,4994,bias_z,rf_ntl_only
London,unemployment_pct,social,0.2842625144313268,0.013569582834528164,0.2576601707894854,0.31086485807316816,1.8338828249957124e-93,4994,bias_z,rf_ntl_only
London,inactive_pct,social,-0.12241163276321743,0.014047020626967147,-0.14994996422258747,-0.0948733013038474,3.9191240504007886e-18,4994,bias_z,rf_ntl_only
London,no_qualification_pct,social,0.12601168566879165,0.014040642237094066,0.09848585865567869,0.1535375126819046,3.946871957491272e-19,4994,bias_z,rf_ntl_only
London,non_white_pct,social,0.11875714377644042,0.01405330355131996,0.09120649502517222,0.14630779252770862,3.762642014248378e-17,4994,bias_z,rf_ntl_only
London,non_uk_born_pct,social,-0.04433278690122479,0.014139547506444956,-0.07205251169257793,-0.016613062109871644,0.0017263114658797951,4994,bias_z,rf_ntl_only
London,household_deprived_2plus_pct,social,0.2924040473924126,0.013534883950273965,0.26586972880736,0.3189383659774652,5.014892812413018e-99,4994,bias_z,rf_ntl_only
London,bedroom_overcrowded_pct,social,0.16348275906998633,0.013963044943561799,0.1361090568416508,0.19085646129832184,2.9537911387196927e-31,4994,bias_z,rf_ntl_only
London,index_of_multiple_deprivation_imd_score,social,0.3506768077134599,0.013234801205711482,0.32473033049021716,0.3766232849367026,3.232939329618629e-144,4659,bias_z,rf_ntl_only
London,education_skills_and_training_score,social,0.2669838826504902,0.013647717962095535,0.2402278930629824,0.2937398722379981,5.808638322276119e-82,4659,bias_z,rf_ntl_only
London,health_deprivation_and_disability_score,social,0.4492772990866243,0.012578668742681424,0.4246171521786486,0.47393744599459997,3.6554134429276953e-247,4659,bias_z,rf_ntl_only
London,living_environment_score,social,-0.0025394221492471363,0.014197355258849987,-0.030372961099198716,0.025294116800704446,0.8580508114025529,4659,bias_z,rf_ntl_only
London,owner_occupied_pct,social,-0.3268730208497901,0.013375988672425348,-0.35309583488559165,-0.3006502068139885,1.1216976221938333e-124,4994,bias_z,rf_ntl_only
London,employment_pct,social,0.05258075342244715,0.014133884093242146,0.024872131408979224,0.08028937543591508,0.00020125922919768846,4994,bias_z,rf_ntl_only
London,high_qualification_pct,social,-0.11645689216685082,0.014057159187134073,-0.14401509965814335,-0.08889868467555828,1.5082847371820115e-16,4994,bias_z,rf_ntl_only
