city,urban_form_variable,vulnerability_to_urban_coef,vulnerability_to_urban_p,urban_to_bias_coef,urban_to_bias_p,sample_size
Tokyo,weighted_avg_height,0.2698786051410772,4.152000387659828e-56,0.17240931919176478,2.080217656302431e-23,3296
Tokyo,max_height,0.24274087097348557,2.071863581485104e-45,0.12885512045803332,1.1206218916755236e-13,3296
Tokyo,apartment_rate,0.48404423829723725,3.187281632047547e-193,0.2173929724773451,1.4936198240885351e-36,3296
Tokyo,pop_density,0.27816000246870115,1.2453419022334911e-59,-0.07247074393603586,3.120331962933579e-05,3296
Tokyo,bldg_count,0.1571430866326936,1.13968745357544e-19,-0.23639797785046257,4.30491401855182e-43,3296
Tokyo,roof_area,0.22383438738777095,1.0586587830978264e-38,-0.14253737037526137,1.9998092320718496e-16,3296
Amsterdam,ghsl_mean_building_height_m,0.029572389823968027,0.5315794143831585,0.02157560035083427,0.6465908963256679,435
Amsterdam,ghsl_median_building_height_m,0.02191611817167996,0.642668898799229,0.015811029175213022,0.7368842712722188,435
Amsterdam,ghsl_max_building_height_m,0.0963250413637493,0.04264731332047916,0.046032238502996065,0.3277596116831234,435
Amsterdam,multi_family_housing_pct,0.4078004663193223,7.35551224957005e-19,0.2533566479940108,4.340151029715774e-08,435
Amsterdam,housing_density_per_ha,0.044232815866483234,0.3484676830696686,0.20298296816423256,1.3092921734504802e-05,435
Amsterdam,population_density,0.049115780677206615,0.2945887948413677,0.14117512661275045,0.0026228408488300657,435
Amsterdam,address_density,0.0008415747222004887,0.9859870558521677,0.03868243424995718,0.4109329920255119,435
London,ghsl_mean_building_height_m,0.1851366598750695,9.473043640462009e-40,0.12440321690710394,1.1098648944043158e-18,4994
London,ghsl_median_building_height_m,0.18199454569973528,1.8963276327874584e-38,0.11831155374678663,4.9342649869406735e-17,4994
London,ghsl_max_building_height_m,0.16217110579492616,8.90148621203093e-31,0.07765091701567511,3.920921875963331e-08,4994
London,flat_apartment_pct,0.20084744010151415,1.2978626924023814e-46,0.2746937285322685,3.6929079826669246e-87,4994
London,detached_pct,-0.25908672929965665,2.0720195343598375e-77,-0.3356217311424378,9.573950333733779e-132,4994
London,semi_detached_pct,-0.1896386189421682,1.1766667909741225e-41,-0.23470406264787738,1.8193849906504373e-63,4994
London,terraced_pct,0.01950928887029955,0.16805725361712773,0.0029175610842534245,0.8366911384588906,4994
