city,model_name,bias_metric,standardized_beta,cluster_robust_se,ci_lower,ci_upper,p_value,n_spatial_units,n_observations,sample_level,vulnerability_definition,direction,n_directions,direction_consistent_across_cities
Tokyo,random_forest,relative_bias,0.21266820903199102,0.019311209961540753,0.17481823750737113,0.2505181805566109,3.319726379513741e-28,3296,3296,spatial_unit,vulnerability_z,positive,1,True
Tokyo,random_forest,log_bias,0.23034038881090918,0.017417619064266015,0.19620185544494778,0.2644789221768706,6.330465637333559e-40,3296,3296,spatial_unit,vulnerability_z,positive,1,True
Tokyo,random_forest,standardized_residual,0.23187179664446514,0.018142503292144636,0.19631249019186164,0.26743110309706863,2.1048170265918697e-37,3296,3296,spatial_unit,vulnerability_z,positive,1,True
Tokyo,random_forest,symmetric_bias,0.2304783432007308,0.01712064459894767,0.19692187978679337,0.2640348066146682,2.6168788524503325e-41,3296,3296,spatial_unit,vulnerability_z,positive,1,True
Amsterdam,random_forest,relative_bias,0.4665925536384923,0.04987033588933608,0.3688466952953936,0.564338411981591,8.272322810081622e-21,435,435,spatial_unit,vulnerability_z,positive,1,True
Amsterdam,random_forest,log_bias,0.46098998652155054,0.05162782444477725,0.35979945060978713,0.562180522433314,4.294900678534639e-19,435,435,spatial_unit,vulnerability_z,positive,1,True
Amsterdam,random_forest,standardized_residual,0.42196709438752705,0.05866126229526397,0.30699102028880965,0.5369431684862445,6.325138207011444e-13,435,435,spatial_unit,vulnerability_z,positive,1,True
Amsterdam,random_forest,symmetric_bias,0.4635003310215551,0.050936093948896366,0.3636655868817182,0.5633350751613919,9.062824925839534e-20,435,435,spatial_unit,vulnerability_z,positive,1,True
London,random_forest,relative_bias,0.24118245508912015,0.014790733491572627,0.2121926174456378,0.2701722927326025,8.899323729933386e-60,4994,4994,spatial_unit,vulnerability_z,positive,1,True
London,random_forest,log_bias,0.24787865494084008,0.014881011459231546,0.21871187248074625,0.2770454374009339,2.67490371657356e-62,4994,4994,spatial_unit,vulnerability_z,positive,1,True
London,random_forest,standardized_residual,0.24664612305675465,0.015252895757515627,0.21675044737202404,0.27654179874148527,8.15065192683008e-59,4994,4994,spatial_unit,vulnerability_z,positive,1,True
London,random_forest,symmetric_bias,0.2478991579966235,0.014833302105421425,0.2188258858699975,0.27697243012324946,1.0657386201151498e-62,4994,4994,spatial_unit,vulnerability_z,positive,1,True
