city,height_group,electricity_decile,n,mean_ntl_intensity,median_ntl_intensity
London,Low height,1,42,0.013026935177241508,0.011569187080753713
London,Low height,2,83,0.010740413240880821,0.008210678637012728
London,Low height,3,94,0.007498125909980024,0.006938611893624406
London,Low height,4,121,0.006916431145546768,0.006454676506871781
London,Low height,5,152,0.0058490342283441295,0.005273841558080378
London,Low height,6,193,0.00584479137370236,0.005471509960445873
London,Low height,7,217,0.005056240834766046,0.0048034493482324225
London,Low height,8,231,0.004908966538353354,0.004654158725028243
London,Low height,9,258,0.0050430321858492425,0.00429041693268786
London,Low height,10,274,0.003941242440313754,0.0033012237886628285
London,Medium height,1,142,0.022062450270586745,0.019833157319727998
London,Medium height,2,177,0.015564963035900522,0.012936820103079102
London,Medium height,3,169,0.011280375003049741,0.009974670687905033
London,Medium height,4,183,0.01027905546136878,0.008208539302924553
London,Medium height,5,201,0.00908670747662677,0.00773598706378487
London,Medium height,6,185,0.007954217599458132,0.006593137196157328
London,Medium height,7,164,0.007565836152508739,0.00649584857482079
London,Medium height,8,180,0.007340609548490733,0.006083462113054709
London,Medium height,9,144,0.007489833211457731,0.005973176080016927
London,Medium height,10,119,0.008947291811120023,0.006883247378375839
London,High height,1,316,0.029586604197478248,0.025550406475076986
London,High height,2,239,0.022445299449242884,0.019987264300641974
London,High height,3,236,0.019983851838727938,0.01682672587500847
London,High height,4,196,0.016715323037878364,0.013507080320813353
London,High height,5,146,0.013449722330546575,0.011590970625010548
London,High height,6,121,0.01412090128421804,0.010847770446733431
London,High height,7,119,0.015505978413929856,0.010941992127280442
London,High height,8,88,0.01319921026122365,0.009832983087628124
London,High height,9,97,0.016230293259854787,0.011482351003874234
London,High height,10,107,0.01714203659703246,0.014908362206822448
