city,height_group,electricity_decile,n,mean_ntl_intensity,median_ntl_intensity
Tokyo,Low height,1,93,0.06279258024383762,0.059513188014104774
Tokyo,Low height,2,89,0.05708907713809944,0.05745197126034655
Tokyo,Low height,3,98,0.04682114609565723,0.045681251167803534
Tokyo,Low height,4,100,0.037203357464456584,0.036125564826852884
Tokyo,Low height,5,97,0.03686829483251778,0.03531954571953174
Tokyo,Low height,6,100,0.03402081818138464,0.03524465667429983
Tokyo,Low height,7,113,0.027803602012295626,0.02813745132105186
Tokyo,Low height,8,122,0.024200718061154095,0.024248265758551716
Tokyo,Low height,9,132,0.02040120053057254,0.019254199307786428
Tokyo,Low height,10,155,0.016397768913351495,0.015244761872976388
Tokyo,Medium height,1,78,0.10973926989789533,0.10657837403607895
Tokyo,Medium height,2,71,0.08657054255908689,0.08438686976928586
Tokyo,Medium height,3,78,0.07131646746154627,0.07155514480610427
Tokyo,Medium height,4,96,0.06198205660856668,0.06239642187461657
Tokyo,Medium height,5,113,0.05593930896731588,0.05516507487735795
Tokyo,Medium height,6,119,0.04945621603196243,0.04944061739642597
Tokyo,Medium height,7,129,0.045874481462743526,0.04624939173769306
Tokyo,Medium height,8,139,0.042861672671429214,0.04174795705688267
Tokyo,Medium height,9,137,0.03401379083946078,0.034939287835031814
Tokyo,Medium height,10,138,0.026725097624701984,0.025987005636915306
Tokyo,High height,1,159,0.20101457575803838,0.18769663350549165
Tokyo,High height,2,170,0.14296623979944967,0.13606976492290923
Tokyo,High height,3,153,0.11605551865978776,0.10946785094808409
Tokyo,High height,4,134,0.09312841822876763,0.0893519284370412
Tokyo,High height,5,119,0.08244170211239557,0.08039432814551549
Tokyo,High height,6,111,0.07065418448159681,0.07173644350599169
Tokyo,High height,7,87,0.06079221151942693,0.05839005982143439
Tokyo,High height,8,69,0.05428325437521601,0.0532109484158149
Tokyo,High height,9,60,0.04772263031774334,0.04363958748214812
Tokyo,High height,10,37,0.03529860696881058,0.03452804065951248
