city,observed_decile,n,mean_observed,mean_predicted,mean_bias,mean_relative_bias,mean_standardized_residual
Tokyo,1,330,263.9851964573151,623.6474707369255,359.66227427961013,1.4157344288821496,1.2622666674908891
Tokyo,2,330,358.001256075431,623.3372894535258,265.33603337809507,0.7470735363907693,0.9312203546737304
Tokyo,3,329,435.6215907694615,627.2911295001142,191.66953873065333,0.443710572662182,0.6726812546510481
Tokyo,4,330,505.6077158655536,638.6094522685229,133.00173640296944,0.2645764840558658,0.46678139628667553
Tokyo,5,329,569.6962379445574,642.9627318326785,73.26649388812046,0.12973048526371012,0.2571352618623601
Tokyo,6,330,633.8070226279548,650.9429341952564,17.135911567301715,0.028049118794821793,0.06014000226129012
Tokyo,7,329,713.1381881340418,654.1777550052451,-58.96043312879629,-0.08141373304984853,-0.20692687212850744
Tokyo,8,330,811.3050683591074,652.5845063042304,-158.72056205487792,-0.19459080762785652,-0.5570438971631934
Tokyo,9,329,931.6259131409096,657.78399456729,-273.84191857361907,-0.29253422438150567,-0.9610725135672921
Tokyo,10,330,1217.8528795804827,663.9655885241265,-553.8872910563559,-0.4382660501637445,-1.9439165991141
Amsterdam,1,44,1386.3636363636363,1882.0077926888837,495.644156325247,0.3683854119647849,0.7099536749647855
Amsterdam,2,46,1558.695652173913,1785.9059547228244,227.21030254891167,0.14537862928555825,0.32545282179945245
Amsterdam,3,41,1658.5365853658536,1885.1042181397559,226.56763277390195,0.13643747443492574,0.32453227070904983
Amsterdam,4,46,1741.5217391304348,1967.081587661387,225.55984853095234,0.1291121438044789,0.3230887348220169
Amsterdam,5,42,1830.0,2040.1214805765392,210.12148057653857,0.11565801092623162,0.3009750350541087
Amsterdam,6,42,1933.8095238095239,2120.7026512089465,186.89312739942312,0.0972332195186899,0.2677030707002075
Amsterdam,7,44,2084.5454545454545,2181.7404406077526,97.19498606229833,0.04662081990702038,0.13922072249309175
Amsterdam,8,43,2264.186046511628,2300.1851349568715,35.99908844524346,0.016282236362219614,0.0515645848153846
Amsterdam,9,43,2574.4186046511627,2287.491287479723,-286.92731717143926,-0.10844488838955409,-0.41099062840554584
Amsterdam,10,44,3510.2272727272725,2506.57770381393,-1003.6495689133423,-0.27212706285933475,-1.4376134384590045
London,1,500,2304.0398099947465,3082.8718066518963,778.8319966571477,0.34454218767521727,1.039863930157073
London,2,499,2614.0376163435344,3149.662675331262,535.6250589877297,0.20545565949864317,0.7151441919697908
London,3,499,2807.8815291010105,3195.5061377214943,387.6246086204877,0.13828815589485444,0.5175401764125744
London,4,500,2964.423230941973,3260.3950301165296,295.9717991745578,0.09994976344455594,0.3951691759279377
London,5,499,3113.404858126411,3307.102531247225,193.69767312081717,0.062360536614578355,0.258617037433248
London,6,499,3263.8388021693772,3354.2215320591004,90.38272988972282,0.02782021407866065,0.12067524334497291
London,7,500,3420.726096495032,3369.3014785985665,-51.42461789646473,-0.014833518955205028,-0.06866000049068836
London,8,499,3603.1218722172816,3382.395779916871,-220.72609230040663,-0.06109077124753826,-0.2947042530518341
London,9,499,3873.8731502885416,3371.6251288822814,-502.24802140625366,-0.12900210107170015,-0.6705805664055564
London,10,500,4846.2384570262,3336.4086947397464,-1509.8297622864548,-0.29378174427985654,-2.0158615943079377
