city,outcome,specification,n,svi_coef,svi_se,svi_p,ci_lower,ci_upper
Tokyo,standardized_residual,SVI only,3296,0.2262319230864152,0.01653650682813699,0.0,0.19380905171737545,0.258654794455455
Tokyo,standardized_residual,SVI + observed electricity,3296,-0.028777112158874196,0.00349804718052218,2.220446049250313e-16,-0.03563567954650899,-0.021918544771239404
Tokyo,relative_bias,SVI only,3296,0.12117345519324435,0.009490140089752611,0.0,0.10256628533554099,0.1397806250509477
Tokyo,relative_bias,SVI + observed electricity,3296,-0.0004119033155342681,0.005726347821008362,0.9426609945199163,-0.01163946554914562,0.010815658918077082
Tokyo,log_bias,SVI only,3296,0.10001066214110958,0.007275252856870943,0.0,0.08574618718233497,0.1142751370998842
Tokyo,log_bias,SVI + observed electricity,3296,-0.006565686970529761,0.0027737464866504687,0.017986447731383803,-0.012004129110714856,-0.0011272448303446649
Amsterdam,standardized_residual,SVI only,435,0.3358236615059617,0.03437346968867799,0.0,0.268264058880929,0.4033832641309944
Amsterdam,standardized_residual,SVI + observed electricity,435,0.0236350372653652,0.02858952359373388,0.4088619441110828,-0.032556828220514984,0.07982690275124538
Amsterdam,relative_bias,SVI only,435,0.11084733628913344,0.00993380758409556,0.0,0.09132285711919709,0.13037181545906978
Amsterdam,relative_bias,SVI + observed electricity,435,0.04052922775374261,0.009750979584594694,3.8991586699399505e-05,0.021363964947712477,0.059694490559772745
Amsterdam,log_bias,SVI only,435,0.1056097701427842,0.009725713284403243,0.0,0.08649429152830758,0.12472524875726083
Amsterdam,log_bias,SVI + observed electricity,435,0.025351279288468753,0.008766836100255788,0.004024766991834516,0.008120321477394808,0.0425822370995427
London,standardized_residual,SVI only,4994,0.25110863968062386,0.013485329468789085,0.0,0.2246714696491804,0.2775458097120673
London,standardized_residual,SVI + observed electricity,4994,-0.059600593439292124,0.005668371262224558,0.0,-0.07071309183907151,-0.04848809503951273
London,relative_bias,SVI only,4994,0.04984206613425084,0.002682274529202617,0.0,0.04458362970052038,0.0551005025679813
London,relative_bias,SVI + observed electricity,4994,-0.006713761795725979,0.0015432844979193935,1.386588878293793e-05,-0.009739277542696155,-0.0036882460487558046
London,log_bias,SVI only,4994,0.0517225722925268,0.0027429801733395223,0.0,0.04634512612754505,0.057100018457508554
London,log_bias,SVI + observed electricity,4994,-0.009580871988396885,0.0013235178794052322,5.209166431541234e-13,-0.01217554859594112,-0.006986195380852648
